ID_Jugador;Nombre;Apellido;Nombre_Completo;Nombre_Corto;Edad;Categoria_2025;Valor_Mercado;Nacionalidad;Altura;Pie preferido;Extranjero;Posicion;Posicion S_1;Posicion S_2;goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
;;;;;;;;;;;;;;;0;0;0;5;71;2;50;0;0;63;7;64;93;1;1;0;5;0;0;0;1;1;0;0;0;0;2;0;5;0;0;0;1;33;2;9;1;0;1;0;0;0;0;0;0;0;0;Piero Guzman;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;1;1;0;14;41;11;30;4;0;54;25;35;513;8;12;3;10;0;0;0;9;0;0;0;0;0;21;0;50;4;0;0;3;23;3;5;0;1;4;1;0;25;0;2;0;0;0;Renato Espinosa;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;1;0;52;57;13;52;5;0;69;65;56;763;22;11;10;15;0;0;0;6;1;0;0;0;0;40;0;112;12;8;36;7;26;4;7;11;0;7;3;1;0;1;0;0;0;0;Rodrigo Castro;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;2;0;0;0;0;3;33;0;0;69;3;25;81;0;1;0;5;0;0;0;2;2;0;0;0;0;2;0;11;1;0;0;0;0;0;3;0;1;5;4;0;40;0;0;0;0;0;Rolando Diaz;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;3;0;10;33;3;19;1;0;72;13;28;765;1;13;0;13;0;0;0;6;2;0;0;0;0;17;0;128;0;0;0;18;38;5;30;6;1;4;2;0;0;0;0;0;1;0;Stefano Fernández;Alianza Atlético de Sullana
;;;;;;;;;;;;;;;0;0;0;1;100;0;0;0;0;0;1;100;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Yordi Vílchez;Alianza Atlético de Sullana
;;;;;;;;;;;;EXI;;;1;0;0;45;60;5;38;18;1;82;50;57;477;23;4;10;8;0;0;0;5;0;0;0;0;0;44;0;99;3;0;0;3;43;3;3;3;4;19;11;1;5;0;1;0;0;0;Alan Cantero;Alianza Lima
1482438;Bassco;Soyer;Bassco Soyer;B. Soyer;18;Sub-20;200000;Perú;172;Der.;0;EXI;MP;;1;0;0;11;44;1;25;3;0;84;12;41;193;4;4;1;4;0;0;0;1;0;0;0;0;0;15;0;41;0;0;0;1;33;2;1;4;0;4;1;2;25;1;1;0;0;0;Bassco Soyer;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;2;67;0;0;0;0;90;2;40;90;0;1;0;1;0;0;0;3;0;0;0;0;0;3;0;26;0;0;0;2;100;0;5;0;0;0;0;0;0;0;0;0;0;0;Brian Arias;Alianza Lima
;;;;;;;;;;;;;;;0;1;0;6;50;4;100;0;0;78;10;63;121;1;4;0;2;0;0;0;2;1;0;0;0;0;12;0;36;0;0;0;3;75;4;8;1;0;1;1;0;0;0;0;0;0;0;Carlos Daniel Gómez Cassani;Alianza Lima
;;;;;;;;;;;;;;;0;1;1;29;74;15;75;5;0;79;44;75;774;16;9;2;9;0;0;0;3;1;0;0;0;0;30;0;243;2;0;0;29;43;8;45;0;0;2;0;0;0;0;0;0;0;0;Carlos Zambrano;Alianza Lima
;;;;;;;;;;;;;;;1;1;0;34;58;34;79;7;0;86;68;67;1179;16;15;6;14;0;0;0;6;1;0;0;0;0;67;1;432;6;0;0;42;53;16;60;4;1;21;3;4;5;0;0;0;0;0;Erick Noriega;Alianza Lima
338957;Eryc;Castillo;Eryc Castillo;E. Castillo;30;Mayor;500000;Ecuador;178;Der.;1;EXD;EXI;;2;2;0;40;38;15;47;17;2;70;55;40;977;8;14;19;12;0;0;0;3;1;0;0;0;0;67;2;148;8;7;30;6;50;2;2;8;2;23;8;8;9;0;4;0;0;0;Eryc Castillo;Alianza Lima
;;;;;;;;;;;;;;;1;1;0;46;48;8;40;10;3;79;54;47;1118;18;8;15;16;0;0;0;9;1;0;0;0;0;188;5;496;23;10;22;48;62;8;8;11;0;20;9;7;5;0;1;0;0;1;Fernando Gaibor;Alianza Lima
;;;;;;;;;;;;;;;0;1;0;10;40;4;57;2;0;89;14;44;228;3;8;5;8;0;0;0;1;0;0;0;0;0;37;0;129;2;1;33;10;91;3;0;1;0;6;1;3;0;1;0;0;0;0;Gonzalo Aguirre;Alianza Lima
;;;;;;;;;;;;;;;0;2;0;43;51;5;50;22;0;72;48;51;749;10;12;2;11;0;0;0;3;0;0;0;0;0;38;0;146;8;11;21;13;45;12;23;7;0;12;2;3;0;0;1;0;0;0;Guillermo Enrique;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;1;100;3;100;0;0;65;4;100;990;2;0;0;11;25;12;13;5;1;6;1;8;1;15;0;151;0;0;0;72;48;0;10;0;0;0;0;0;0;0;0;1;0;0;Guillermo Viscarra;Alianza Lima
31175;Hernán;Barcos;Hernán Barcos;H. Barcos;41;Mayor;50000;Argentina;187;Der.;0;DC;;;4;1;1;21;43;19;68;3;0;70;40;52;628;8;8;8;10;0;0;0;1;1;0;0;0;0;60;1;130;12;2;29;17;74;4;12;3;4;25;8;6;16;1;4;0;0;1;Hernán Barcos;Alianza Lima
;;;;;;;;;;;;;;;0;3;0;7;50;9;82;0;0;72;16;64;198;3;6;0;3;0;0;0;3;1;0;0;0;0;12;0;69;1;1;100;5;38;3;6;1;0;2;0;1;0;0;0;0;0;0;Jean Pierre Archimbaud;Alianza Lima
;;;;;;;;;;;;;;;0;3;0;20;45;13;65;2;0;87;33;52;569;6;12;3;11;0;0;0;4;0;0;0;0;0;34;0;205;6;0;0;9;60;15;20;9;0;1;0;1;0;1;0;0;1;0;Jesús Castillo;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;39;46;6;50;18;2;71;45;47;642;13;6;14;13;0;0;0;7;0;0;0;0;0;58;4;129;12;3;30;8;80;4;4;7;0;8;2;2;0;0;1;0;0;0;Jhamir D'Arrigo;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;7;70;17;65;0;0;86;24;67;369;4;0;1;5;0;0;0;2;0;0;0;0;0;7;0;146;0;0;0;15;56;2;39;2;0;3;0;2;0;0;0;0;0;0;Jhoao Velasquez;Alianza Lima
